"oid","uniq_id","stor_folder","stor_phys","stor_reason","stor_date","stor_dept","stor_person","stor_desc","stor_fmts","stor_units","obj_name","type_of_work","obj_synopsis","obj_type","obj_sub_type","obj_assoc_inv_nums","obj_date","obj_year","obj_authors","obj_orgs","obj_restrict","obj_rights","obj_rdoc_name","obj_rdoc_num","obj_terms","obj_sources","obj_supl_info","obj_main_min","obj_supl_min","obj_group_min","obj_assoc_geol","spat_atd_ate","spat_loc","spat_num_grid","spat_coords_source","spat_toponim","inf_type","inf_media","path_others","obj_main_group","obj_sub_group","path_local","path_cloud","status","timecode","obj_sub_group_ref","path_local_ref","path_cloud_ref"
"11170","g01s03y2022m06d03n39e","4115-Белоусов Г.Г.,2012","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","27.05.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, CDR","1 папка (графика); 1 файл (текст)","Отчет о поисково-оценочных работах на россыпное золото в долине р. Зауда и ее левых притоках - ручьях Балдино, Андрюшкин, Петрушкин с подсчетом запасов на 01.01.2013 г.","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4115; Росгеолфонд: 483753","","2012","Белоусов Г.Г., Жданов В.А., Яук И.К.","ООО ""Зауда""","","РФ","Лицензия БАР01823БР от 17.02.2010","Лицензия БАР01823БР от 17.02.2010","Разведочные линии, подсчет запасов, россыпное золото, категория С2, торфы, пески, пробность золота, Алтайский край","","","Золото россыпное","","Благородные металлы","Россыпь долины р. Зауда","Алтайский край","Заринский район","N-45","53º51'20"" с.ш. 86º06'48"" в.д., 53º51'17"" с.ш. 86º07'22"" в.д., 53º50'40"" с.ш. 86º07'57"" в.д., 53º51'49"" с.ш. 86º09'24"" в.д., 53º48'34"" с.ш. 86º11'09"" в.д., 53º46'38"" с.ш. 86º11'21"" в.д., 53º45'38"" с.ш. 86º10'16"" в.д., 53º45'47"" с.ш. 86º10'00"" в.д.","Река Зауда, ручьи Балдино, Андрюшкин, Петрушкин, жд.ст. Аламбай, Тягун","Интерпретированная","Электронный","Гос. Рег. № 84-04-19/1","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4115-Белоусов Г.Г.,2012","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4115-Белоусов Г.Г.,2012","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4115-Белоусов Г.Г.,2012","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4115-Белоусов Г.Г.,2012"
"11169","g01s03y2022m06d03n38e","3984-Гладков Н.А.,1995","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG","1 папка (графика); 2 папка (текст)","Оценить перспективы золотоности кор выветривания западной части Алтае-Саянской складчатой области и дать рекомендации по направлению поисково-оценочных работ","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 3984; Росгеолфонд: 468272","","1995","Гладков Н.А., Потапов А.А. и др.","ФГУП СНИИГГиМС ","","РФ","Объект 05/Б.2.4/501(12)/208","Объект 05/Б.2.4/501(12)/208","Золото, коры выветривания, карта прогноза, Салаир, Кузнецкий Алатау, Кельбесский район, прогнозно-поисковые критерии и комплексы, субстрат, структурно-тектонический, геофизический, поисковый участок, прогнозные ресурсы","","","Золото","","Благородные металлы","Алтае-Саянская складчатая область","Алтайский край","","N-45","","Салаирский кряж, Кузнецкий Алатау","Интерпретированная","Электронный","Гос. Рег. № 1-95-6/9","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\3984-Гладков Н.А.,1995","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/3984-Гладков Н.А.,1995","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\3984-Гладков Н.А.,1995","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/3984-Гладков Н.А.,1995"
"11171","g01s03y2022m06d03n40e","4180-Бородин В.В.,1960","ТФГИ по Сибирскому ФО","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","","JPG","1 машинный носитель","Отчет Коуракской электроразведочной партии № 47/60 по поисковым геофизическим работам в северо-западной части Салаирского кряжа в 1960 г.","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Сибирскому ФО: 4180","","1960","Бородин В.В., Гладков Н.А., Васильев Ю.Р., Моисеев Ю.С.","Новосибирский геофизический трест","","РФ","","","Геолого-геофизическая изученность, геологическое строение, полезные ископаемые, методика и техника работ, свойства пород и руд, магниторазведочные работы, геокартирование, геофизические поисковые работы","","","Золото","","Благородные металлы","Участки Суенгинский, Верх-Коуракский, Еловский, Колтыракский, Колтыракское рудное поле","Новосибирская область","Тогучинский район, Маслянинский район","N-45-37-Г, N-45-38-В, N-45-38-Г","","Салаирский кряж, реки Колтырак, Тарсьма, Суенга, Коурак, Дражны, Тайлы, Калистратиха, с. Коурак, г. Тогучин, Новосибирск, жд.ст. Курундус","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4180-Бородин В.В.,1960","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4180-Бородин В.В.,1960","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4180-Бородин В.В.,1960","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4180-Бородин В.В.,1960"
"11172","g01s03y2022m06d03n41e","4237-Черкашенин М.Ф.,1935","ТФГИ по Кемеровской обл.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","TIFF","1 папка (графика); 2 папка (текст)","Уксунайский золотоосный район. Отчет о работах поисково-разведочной партии на рудное золото в ЮВ части Салаира","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Кемеровской обл.: 4237; ТФГИ по Алтайскому кр.: 4396; Росгеолфонд: 214702","","1935","Черкашенин М.Ф.","Союзредметразведка","","РФ","","","Уксунайский золотоосный район, поисково-разведочные работы, рудное золото, Ю-В часть Салаира","","","Золото","","Благородные металлы","Уксунайский золотоносный район","Алтайский край","Тогульский район","N-45-VI","","Река Средний Уксунай, Тогул, Чумыша, с. Тогул, жд.ст. Усяты (г. Прокопьевск)","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4237-Черкашенин М.Ф.,1935","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4237-Черкашенин М.Ф.,1935","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4237-Черкашенин М.Ф.,1935","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4237-Черкашенин М.Ф.,1935"
"11248","g01s03y2022m06d23n1e","27693-Максимов В.К.,1998","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","","PDF, JPG, TXT","1 папка (текст); 2 папка (графика); 1 файл (инф.)","Геологический отчет ""О поисковых и поисково-оценочных работах на россыпное золото в бассейне среднего течения р. Тубиль с подсчетом запасов по состоянию на 01.01.1999 г. (Отчет по заданию Г-3-94-95)""","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 27693","","1998","Максимов В.К., Симаков С.Л., Шурыгин С.И. и др.","ООО ""ГГП № 53 ""Феникс""""","","РФ","","","Подсчет запасов, россыпь, золото, Тубиль (река), Безымянный, Кварцевый, Лоточный, Поворотный (ручьи), раздельный способ, горногеологическое предприятие № 53 ""Феникс"", N-46-X, Красноярский край, Дербинский золотоносный район","","","Золото россыпное","","Благородыне металлы","Россыпь бассейна р. Тубиль","Красноярский край","Балахтинский район","N-46-X","","Река Тубиль, ручьи Безымянный, Кварцевый, Лоточный, Поворотный, Восточный Саян","Интерпретированная","Электронный","Гос. Рег. № 16-95-5/1","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\27693-Максимов В.К.,1998","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/27693-Максимов В.К.,1998","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\27693-Максимов В.К.,1998","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/27693-Максимов В.К.,1998"
"11579","g01s03y2022m08d26n4e","13341-Юркин В.И.,1964","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","02.08.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG, AUX, JGW","1 папка (участки вырез); 2 папка (участки прив.), 9 (файлов графика); 1 файл (текст)","Кимберлитовые трубки Чадобецкого поднятия и перспективы их алмазоносности. (Окончательный отчет Чадобецкой ПСП за 1961-63 гг.)","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 13341; Росгеолфонд: 255421","","1964","Юркин В.И., Павлинов О.А., Чубугина В.Л. и др.","Красноярское ГУ, Геологосъемочная экспедиция","","РФ","","","Изученность, стратиграфия, свита, магматизм, дайка, жила, интрузивные тела, Чадобецкий комплекс, петрология, магматические породы, слюдистые перидотиты, кимберлиты, ультраосновные породы, трубочный и жильный тип, вторичные минералы, тектоника, геоморфология, поисковеы работы","","","Алмазы","","Алмазы","Сибирская платформа, Чадобецкое поднятие, трубки Фигурная, Брусская, Большая, Малая, В-Чуктуконская, участок Галечный, Чуктукон, Брусский","Красноярский край","Богучанский район","O-47-IV","","Руч. Чуктукон, Брус, Жерновой, реки Терина, Исчуха, Чадобец, Ангара, Пуня, Цемба","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\13341-Юркин В.И.,1964","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/13341-Юркин В.И.,1964","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\13341-Юркин В.И.,1964","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/13341-Юркин В.И.,1964"
"11173","g01s03y2022m06d15n1e","4255-Туркин Ю.А.,2013","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","03.06.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, XLS, JPG, TIFF, CDR","1 машинный носитель","Геологический отчет о результатах работ по объекту ""ГДП-200 листа M-44-VI (Чарышская площадь)"" за 2011-2013 гг.","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4255; Росгеолфонд: 510997","","2013","Туркин Ю.А., Федак С.И., Русанов Г.Г. и др.","ОАО ""ГАЭ""","","РФ","Лицензия БАР02037ПП от 19.05.2011. ГК № 68-Ф от 08.04.2011","Лицензия БАР02037ПП от 19.05.2011. ГК № 68-Ф от 08.04.2011","ГДП-200, структурно-формационная свита, интрузивный комплекс, разлом, надвиг, аллохтон, базиты, сланцы, песчаники, известняки, джаспероиды, кварц, ранний палеозой, рудный узел, золото, вольфрам, скважина, канава, прогнозные ресурсы, геохимические и геофизические аномалии, лист M-44-VI, Чарышская площадь, Алтайский край","","","Золото, серебро, вольфрам","","Благородные металлы, цветные металлы, редкие металлы","Чарышская площадь","Алтайский край","Чарышский район, Солонешенский район","M-44-VI ","","Реки Чарыш, Ануй, Иня, Маралиха","Интерпретированная","Электронный","Гос. Рег. № 01-11-65","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4255-Туркин Ю.А.,2013","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4255-Туркин Ю.А.,2013","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4255-Туркин Ю.А.,2013","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4255-Туркин Ю.А.,2013"
"11174","g01s03y2022m06d15n2e","4350-Петров А.И.,2014","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","03.06.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, CDR","1 папка (графика); 1 файл (текст)","Отчет по переоценке участка россыпи р. Ануй с балансовыми запасами золота под гидравлический способ отработки для условий отработки открытым раздельным способом (в рамках работ по объекту ""Поискове и оценочные работы на россыпи р. Ануй с притоками р. Щепета и р. Солонешная в Солонешенском районе Алтайского края"")","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4350; Росгеолфонд: 516509","","2014","Петров А.И., Ещеркин Ю.В., Калинина А.А.","ООО ""Алтайская ГГП""","","РФ","Лицензия БАР02389БР от 25.01.2013","Лицензия БАР02389БР от 25.01.2013","Россыпное золото, россыпь р. Ануй, подсчет запасов, Алтайский край, Солонешенский рйон, M-45-I","","","Золото россыпное","","Благородные металлы","Россыпь р. Ануй","Алтайский край","Солонешенский район","M-45-I ","","С. Черный Ануй, Топольное, реки Ануй, Карама, Щепета, Солонешная","Интерпретированная","Электронный","Гос. Рег. № 01-13-149","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4350-Петров А.И.,2014","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4350-Петров А.И.,2014","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4350-Петров А.И.,2014","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4350-Петров А.И.,2014"
"11175","g01s03y2022m06d15n3e","4437-Селин П.Ф.,2014","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, XLS, JPG, CDR","1 папка (карта); 2 папка (графика); 3 папка (графика); 4 папка (текст); 1 файл (информ.); 2 файл (ведомость); 3 файл (этикетка)","Геологический отчет о результатах работ по объекту ""ГДП-200 листа M-44-V (Курьинская площадь)"" за 2012-2014 гг.","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4437; Росгеолфонд: 515610","","2014","Селин П.Ф., Туркин Ю.А., Русанов Г.Г. и др.","ОАО ""ГАЭ""","","РФ","Лицензия БАР02271ПП от 13.04.2012. ГК № 71-Ф от 14.03.2012","Лицензия БАР02271ПП от 13.04.2012. ГК № 71-Ф от 14.03.2012","ГДП-200, структурно-формационная зона, свита, интрузивный комплекс, разлом, надвиг, аллохтон, базиты, сланцы, песчаники, известняки, джаспероиды, кварц, палеозой, рудный узел, золото, вольфрам, скважина, канава, прогнозные ресурсы, геохимические и геофизические аномалии, Курьинская площадь, Алтайский край","","","Золото, серебро, висмут, вольфрам, медь, молибден","","Благородные металлы, цветные металлы, черные металлы, неметаллы, драгоценные и поделочные камни","Курьинская площадь","Алтайский край","","M-44-V ","","Реки Чарыш, Локтевка, р.ц. Краснощеково, Курья","Интерпретированная","Электронный","Гос. Рег. № 01-12-99","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4437-Селин П.Ф.,2014","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4437-Селин П.Ф.,2014","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4437-Селин П.Ф.,2014","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4437-Селин П.Ф.,2014"
"11176","g01s03y2022m06d15n4e","4678-Геращенко А.А.,2016","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","","DOC, XLS, PDF, TXT","1 папка (книга 1); 2 папка (книга 2); 3 папка (графика); 4 папка (сопровод.); 5 папка (паспорт ГКМ); 1 файл (инф.)","Отчет с подсчетом запасов россыпноого золота по росыспям Сунгайской площади Тогул-Сунганайского золотороссыпного узла (по состоянию на 01.01.2016 г.)","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4678","","2016","Геращенко А.А., Чуприкова А.В., Котенев А.Э. и др.","ООО ""ГК ""Алтай""""","","РФ","Лицензия БАР0205БР от 16.06.2011","Лицензия БАР0205БР от 16.06.2011","Россыпное золото, балансовые запасы, пробность, подсчет запасов, торф, пески, Сунгайская площадь, Тогул-Сунгайнайский золотороссыпной узел","","","Золото россыпное","","Благородные металлы","Сунгайская площадь, Тогул-Сунгайнайский золотороссыпной узел","Алтайский край","Заринский район","N-45-XX","53º55'57"" с.ш. 85º47'59"" в.д., 53º55'00"" с.ш. 85º47'44"" в.д., 53º55'18"" с.ш. 85º49'31"" в.д., 53º52'32"" с.ш. 85º52'51"" в.д., 53º52'17"" с.ш. 85º49'45"" в.д., 53º48'58"" с.ш. 85º47'34"" в.д., 53º48'29"" с.ш. 85º47'40"" в.д., 53º47'08"" с.ш. 85º47'25"" в.д., 53º47'06"" с.ш. 85º46'28"" в.д., 53º49'15"" с.ш. 85º46'27"" в.д., 53º52'25"" с.ш. 85º43'03"" в.д., 53º52'55"" с.ш. 85º44'02"" в.д., 53º50'15"" с.ш. 85º46'16"" в.д., 53º56'32"" с.ш. 85º46'09"" в.д.","Реки Сунгай, Ветловой Сунгай, Березовая, Никифоровка, ручьи Андрюшкин и Безымянный","Интерпретированная","Электронный","Гос. Рег. № 01-11-78","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4678-Геращенко А.А.,2016","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4678-Геращенко А.А.,2016","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4678-Геращенко А.А.,2016","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4678-Геращенко А.А.,2016"
"11580","g01s03y2022m08d26n5e","13410-Селезнев Е.Д.,1964","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","02.08.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG","16 файлов (графика); 1 файл (текст)","Трубки взрыва и дайки щелочно-ультраосновных и щелочно-базальтоидных пород бассейна р. Чингасан и перспективы их алмазоносности. (Окончательный отчет Алманаканской ПСП за 1962-63 гг.)","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 13410; Росгеолфонд: 257824","","1975","Селезнев Е.Д., Казачевская Г.И.","Красноярское ГУ, Геологосъемочная экспедиция","","РФ","","","Стратиграфия, тектоника, геоморфология, магматизм, трубки взрыва, дайки, пластовые тела, щелочно-ультраосновные и щелочно-базальтоидные породы, субинтрузивные тела, поисковые работы, магнитометрические работы, полезные ископаемые, перспективы алмазоносности","","","Алмазы","","Алмазы","Трубки Забытая, Дальняя, Неразгаданная, Натальинская, Глубокая, участки Чертов-1, Чертов-2, Сложный","Красноярский край","Эвенкийский район","P-46-XXVI, P-46-XXVII ","","Енисейский кряж, реки Чингасан, Чивида, Чапа, г. Красноярск, пос. Северо-Енисейск, Тея","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\13410-Селезнев Е.Д.,1964","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/13410-Селезнев Е.Д.,1964","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\13410-Селезнев Е.Д.,1964","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/13410-Селезнев Е.Д.,1964"
"11178","g01s03y2022m06d15n6e","4819-Морева Н.В.,2015","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, JPG, CDR, TXT","1 папка (текст); 2 папка (графика); 3 папка (документы); 4 папка (документы); 5 папка (графика)","Отчет о результатах работ по объекту ""Составление и подготовка к изданию Геолкарты-200 листов N-45-XXVIII (Таштагольская площадь), N-45-XXI (Прокопьевская площадь), M-44-V (Курьинская площадь) и оценка геологической, геохимической, геофизической изученности и подготовка геологического обоснования ГДП-200 листов M-45-XXII, XXVIII (площадь Беляши) (1 этап)""","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4819; Росгеолфонд: 520033","","2015","Морева Н.В., Гусев Н.И., Круглова А.А. и др.","ФГУП ""ВСЕГЕИ""","","РФ","ГК № 2Ф-15 от 02.06.2015. Доп. соглашение № 1 от 09.10.2015","ГК № 2Ф-15 от 02.06.2015. Доп. соглашение № 1 от 09.10.2015","Сибирский ФО, Алтайский край, Республика Алтай, Кемеровская область, изученность, Госгеолкарта-200, легенды, предварительные карты, схемы, стратифицированные геологические образования, магматические комплексы, Алтае-Саянская складчатая область, Салаир, Кузбасс, Горный Алтай, изотопный возвраст, золото, марганец, вольфрам, тантал","","","Золото, вольфрам, тантал","","Благородные металлы, цветные металлы","Таштагольская площадь, Прокопьевская площадь, Курьинская площадь, площадь Беляши","Алтайский край, Кемеровская область","","M-44-V, M-45-XXII, M-45-XXVIII, N-45-XXI, N-45-XXVIII ","","Города Бийск, Новокузнецк, Кемерово, Белогорск, Таштагол, Горно-Алтайск, Барнаул, реки Джазатор, Ак-Алаха, Коксу, Аргут, Карагем, Калгуты","Интерпретированная","Электронный","Гос. Рег. № 035-15-165","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4819-Морева Н.В.,2015","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4819-Морева Н.В.,2015","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4819-Морева Н.В.,2015","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4819-Морева Н.В.,2015"
"11179","g01s03y2022m06d15n7e","4870-Селин О.П.,2016","ТФГИ по Алтайскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","","DOC, XLS, JPG, CDR","2 машинный носителя","Отчет о результатах работ по обекту ""Поисковые работы на золото в пределах Баранчинской площади (Алтайский край)""","Поисковые работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Алтайскому кр.: 4870","","2016","Селин О.П., Мусаев Е.А., Рожченко В.А. и др.","ОАО ""ГАЭ""","","РФ","Лицензия БАР02534БП от 03.03.2014. ГК № 2Ф-14 от 10.02.2014","Лицензия БАР02534БП от 03.03.2014. ГК № 2Ф-14 от 10.02.2014","Поиски, золото, Баранчинская площадь, узел, скарны, диорит-порфириты, терригенно-карботаные и вулканогенные породы, интрузивные, усть-беловский, белокурихинский, комплекс, литохимические поиски, бурение скважин, проходка канав, золоторудное тело, прогнохные ресурсы, Алтайский район, Алтайский край, M-45-2-Б, Г; M-45-3-А, В","","","Золото","","Благородные металлы","Баранчинская площадь, Северо-Алтайский золоторудный пояс","Алтайский край","","М-45-I, М-45-II","","Реки Баранча, Каменка, Бол. Щемиловка, Песчаная, пос. Алтайский, Куяган, Никольское, г. Бийск","Интерпретированная","Электронный","Гос. Рег. № 01-14-202","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\4870-Селин О.П.,2016","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/4870-Селин О.П.,2016","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\4870-Селин О.П.,2016","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/4870-Селин О.П.,2016"
